gwb_code,year,a_inw,a_man,a_vrouw,a_hh,a_1p_hh,a_hh_z_k,a_hh_m_k,bev_dich,a_lan_ha
WK036351,2018,8095,3895,4200,3090,965.0,490.0,1645.0,12215,66
WK036352,2018,15115,6940,8170,8535,4630.0,2035.0,1875.0,15283,99
WK036353,2018,5385,2575,2810,3360,2045.0,725.0,600.0,21012,26
WK036354,2018,9160,4305,4855,5830,3580.0,1270.0,990.0,9494,97
WK036355,2018,10800,5370,5425,6115,3670.0,1215.0,1240.0,6828,158
WK036356,2018,15450,7335,8115,8120,4130.0,1820.0,2180.0,5453,283
WK036357,2018,3250,1515,1735,1985,1185.0,400.0,410.0,2989,109
WK036358,2018,4600,2405,2190,3155,2435.0,500.0,225.0,1616,285
WK036359,2018,1335,610,720,680,340.0,160.0,185.0,3493,38
WK036360,2018,9755,4820,4935,5125,2610.0,965.0,1555.0,8166,119
WK036361,2018,8250,4165,4085,4390,2355.0,810.0,1230.0,6962,119
WK036362,2018,3535,1650,1880,1850,835.0,450.0,570.0,8229,43
WK036363,2018,1910,930,975,940,400.0,220.0,330.0,11330,17
WK036364,2018,1685,830,850,645,155.0,180.0,315.0,4714,36
WK036365,2018,11525,5540,5985,5425,2290.0,1210.0,1925.0,7251,159
WK036366,2018,8885,4325,4560,4030,1535.0,935.0,1565.0,3507,253
WK036367,2018,3115,1495,1620,1305,360.0,385.0,570.0,2310,135
WK036368,2018,13175,6440,6730,5955,2605.0,1070.0,2285.0,9247,142
WK036369,2018,11170,5360,5810,5935,3280.0,1170.0,1495.0,7397,151
WK036370,2018,14300,7000,7300,6495,2850.0,1310.0,2340.0,8635,166
WK036371,2018,3590,1895,1695,2305,1505.0,465.0,340.0,1436,250
WK036372,2018,315,195,115,220,150.0,60.0,15.0,463,68
WK036373,2018,2275,1155,1120,925,255.0,300.0,380.0,92,2477
WK036374,2018,2735,1370,1360,1085,320.0,250.0,525.0,3350,82
WK036375,2018,6240,3060,3180,3290,1680.0,745.0,875.0,24616,25
WK036376,2018,9295,4810,4485,4440,2250.0,705.0,1490.0,9651,96
WK036377,2018,17965,9155,8810,8665,4415.0,1470.0,2790.0,7992,225
WK036378,2018,15700,7910,7790,6750,2895.0,1230.0,2630.0,11892,132
WK036379,2018,2440,1210,1230,1035,310.0,310.0,425.0,1118,219
WK036380,2018,865,445,420,375,125.0,110.0,150.0,163,533
WK036381,2018,16300,7985,8315,8645,4590.0,1800.0,2265.0,10344,158
WK036382,2018,16050,7835,8215,7145,3180.0,1350.0,2625.0,15549,103
WK036383,2018,6070,3145,2925,2885,1505.0,515.0,870.0,10150,60
WK036384,2018,14525,7170,7355,5915,1900.0,1345.0,2680.0,9630,151
WK036385,2018,7995,3990,4005,3730,1665.0,800.0,1275.0,7203,111
WK036386,2018,13355,6520,6835,7055,4100.0,1275.0,1685.0,9184,145
WK036387,2018,10045,5315,4730,6220,4115.0,1135.0,980.0,7111,141
WK036388,2018,14005,6915,7090,6210,2125.0,1685.0,2405.0,3000,467
WK036389,2018,10550,5060,5485,5630,3290.0,995.0,1355.0,8444,125
WK036390,2018,13365,6245,7120,7825,4520.0,1730.0,1585.0,4695,285
WK036391,2018,7865,3725,4140,4550,2725.0,1005.0,830.0,5133,153
WK036392,2018,710,375,335,610,580.0,15.0,20.0,143,498
WK036393,2018,24270,12275,11990,13705,8355.0,1690.0,3670.0,8017,303
WK036394,2018,28825,14440,14385,15350,8500.0,2220.0,4640.0,7785,370
WK036395,2018,2935,1525,1405,1720,985.0,405.0,345.0,1342,219
WK036396,2018,18265,8680,9580,9190,4540.0,1515.0,3140.0,7037,260
WK036397,2018,11385,5615,5765,5515,2430.0,1075.0,2015.0,6210,183
WK036398,2018,1545,740,805,645,170.0,195.0,290.0,883,175
WK036300,2017,4245,2340,1905,3050,2165.0,630.0,260.0,12157,35
WK036301,2017,3990,2135,1850,2905,2085.0,635.0,195.0,6986,57
WK036302,2017,6370,3340,3025,4120,2605.0,1000.0,520.0,14230,45
WK036303,2017,5405,2960,2445,3505,2275.0,770.0,465.0,10413,52
WK036304,2017,9645,4990,4650,6380,4175.0,1360.0,850.0,13440,72
WK036305,2017,9300,4675,4620,5680,3450.0,1210.0,1030.0,16994,55
WK036306,2017,19305,9795,9510,12940,8680.0,2495.0,1775.0,23133,83
WK036307,2017,7255,3725,3530,4660,2980.0,1035.0,655.0,13050,56
WK036308,2017,7895,4210,3685,4890,3255.0,1025.0,620.0,10172,78
WK036309,2017,12985,6550,6435,7810,4730.0,1545.0,1545.0,13159,99
WK036310,2017,190,125,60,145,125.0,10.0,20.0,10,1998
WK036311,2017,145,100,45,105,90.0,15.0,10.0,20,722
WK036312,2017,1060,550,510,625,355.0,155.0,120.0,3543,30
WK036313,2017,10795,5360,5435,6285,3725.0,1170.0,1400.0,7903,137
WK036314,2017,13260,6620,6640,8065,4855.0,1705.0,1510.0,28025,47
WK036315,2017,2450,1185,1260,1235,605.0,245.0,395.0,4712,52
WK036316,2017,8410,4170,4240,5135,3150.0,1155.0,840.0,23456,36
WK036317,2017,4735,2350,2385,2995,1840.0,685.0,480.0,21803,22
WK036318,2017,6390,3290,3100,3785,2335.0,830.0,630.0,25353,25
WK036319,2017,6985,3470,3510,4560,3075.0,800.0,695.0,27993,25
WK036320,2017,7465,3600,3865,4585,2820.0,945.0,825.0,22294,34
WK036321,2017,7805,3795,4005,4730,2800.0,1105.0,835.0,26203,30
WK036322,2017,1895,940,955,1060,640.0,210.0,220.0,8758,22
WK036323,2017,2805,1605,1195,2160,1730.0,285.0,155.0,1326,212
WK036324,2017,14705,7445,7260,9905,6675.0,1985.0,1255.0,23174,63
WK036325,2017,12300,5905,6395,7910,5080.0,1655.0,1190.0,23954,51
WK036326,2017,8255,3920,4330,4900,2870.0,940.0,1100.0,23391,35
WK036327,2017,5425,2715,2710,3360,2085.0,740.0,545.0,14686,37
WK036328,2017,10905,5440,5460,6455,3845.0,1345.0,1275.0,15096,72
WK036329,2017,9755,4835,4920,5615,3365.0,1125.0,1130.0,16436,59
WK036330,2017,9410,4625,4785,5170,2885.0,1020.0,1275.0,25498,37
WK036331,2017,12665,6375,6285,7060,3965.0,1555.0,1550.0,27030,47
WK036332,2017,10260,5180,5080,5380,2955.0,1060.0,1375.0,10928,94
WK036333,2017,18640,9380,9260,9290,4035.0,2360.0,2905.0,12074,154
WK036334,2017,2175,1055,1115,1650,1325.0,200.0,130.0,880,248
WK036335,2017,14530,7250,7275,5625,1735.0,1040.0,2860.0,12965,112
WK036336,2017,525,310,215,290,155.0,105.0,40.0,440,120
WK036337,2017,18640,9210,9425,10305,5755.0,2155.0,2400.0,18243,102
WK036338,2017,5760,2780,2980,3385,1920.0,820.0,655.0,15894,36
WK036339,2017,9915,4870,5040,4965,2715.0,885.0,1370.0,13759,72
WK036340,2017,6935,3325,3610,4220,2510.0,955.0,760.0,25182,28
WK036341,2017,6980,3750,3230,3395,2025.0,725.0,655.0,24213,29
WK036342,2017,10615,5235,5380,6210,3650.0,1310.0,1260.0,26587,40
WK036343,2017,6945,3320,3620,4125,2310.0,1045.0,780.0,21805,32
WK036344,2017,11845,5480,6360,7235,4190.0,1705.0,1350.0,13955,85
WK036345,2017,3835,1800,2035,2480,1595.0,495.0,400.0,13239,29
WK036346,2017,5540,2755,2780,2675,1225.0,610.0,845.0,8676,64
WK036347,2017,12840,6230,6610,6910,3650.0,1645.0,1625.0,9776,131
WK036348,2017,11800,5525,6275,6940,3905.0,1490.0,1550.0,12330,96
WK036349,2017,8695,4095,4595,4185,1910.0,940.0,1340.0,9837,88
WK036350,2017,0,0,0,0,0.0,0.0,0.0,.,27
WK036351,2017,7665,3720,3945,2940,945.0,460.0,1545.0,11566,66
WK036352,2017,15085,6950,8130,8630,4780.0,2010.0,1845.0,15253,99
WK036353,2017,5370,2575,2790,3365,2065.0,705.0,605.0,20961,26
WK036354,2017,9180,4265,4910,5850,3645.0,1220.0,995.0,9513,97
WK036355,2017,11065,5515,5545,6385,3865.0,1285.0,1245.0,6995,158
WK036356,2017,15575,7420,8150,8250,4250.0,1825.0,2185.0,5523,282
WK036357,2017,3230,1520,1705,1980,1175.0,410.0,400.0,2971,109
WK036358,2017,4425,2285,2140,3120,2530.0,415.0,180.0,1555,285
WK036359,2017,1310,590,720,675,340.0,150.0,195.0,3433,38
WK036360,2017,9730,4805,4920,5055,2565.0,920.0,1575.0,8145,119
WK036361,2017,8285,4195,4090,4415,2370.0,820.0,1235.0,7001,118
WK036362,2017,3535,1665,1870,1865,840.0,460.0,570.0,8238,43
WK036363,2017,1925,935,990,945,395.0,230.0,325.0,11419,17
WK036364,2017,1685,825,855,645,165.0,180.0,310.0,4705,36
WK036365,2017,11345,5460,5885,5330,2230.0,1225.0,1885.0,7137,159
WK036366,2017,8900,4320,4575,4030,1520.0,955.0,1565.0,3537,252
WK036367,2017,3070,1475,1595,1290,345.0,395.0,560.0,2278,135
WK036368,2017,13265,6460,6805,5990,2605.0,1120.0,2275.0,9313,142
WK036369,2017,11120,5315,5800,5860,3180.0,1205.0,1480.0,7363,151
WK036370,2017,14365,7010,7355,6480,2815.0,1355.0,2320.0,8672,166
WK036371,2017,2545,1365,1180,1640,1055.0,355.0,235.0,1018,250
WK036372,2017,205,130,75,135,90.0,40.0,15.0,302,68
WK036373,2017,2200,1110,1090,915,265.0,295.0,360.0,89,2481
WK036374,2017,2555,1285,1265,1000,280.0,230.0,495.0,3128,82
WK036375,2017,6205,3035,3170,3295,1700.0,725.0,875.0,24482,25
WK036376,2017,9410,4835,4575,4470,2240.0,700.0,1540.0,9772,96
WK036377,2017,17370,8840,8525,8420,4345.0,1420.0,2665.0,7727,225
WK036378,2017,15720,7915,7800,6830,2920.0,1300.0,2615.0,11905,132
WK036379,2017,2460,1220,1235,1060,335.0,310.0,420.0,1109,222
WK036380,2017,865,445,420,390,140.0,110.0,145.0,162,535
WK036381,2017,16115,7940,8175,8585,4620.0,1750.0,2220.0,10227,158
WK036382,2017,16010,7835,8175,7200,3245.0,1350.0,2620.0,15510,103
WK036383,2017,5995,3080,2915,2840,1475.0,520.0,860.0,10029,60
WK036384,2017,14440,7125,7315,5885,1860.0,1355.0,2675.0,9573,151
WK036385,2017,7895,3960,3930,3720,1670.0,805.0,1250.0,7113,111
WK036386,2017,12320,6115,6205,6195,3430.0,1120.0,1650.0,8473,145
WK036387,2017,8705,4645,4055,5165,3165.0,1035.0,975.0,6161,141
WK036388,2017,13990,6875,7115,6190,2100.0,1665.0,2430.0,2998,467
WK036389,2017,10185,4850,5335,5295,3025.0,935.0,1345.0,8154,125
WK036390,2017,13070,6050,7020,7645,4360.0,1800.0,1495.0,4592,285
WK036391,2017,7765,3655,4110,4510,2685.0,1040.0,795.0,5067,153
WK036392,2017,665,320,340,570,550.0,15.0,15.0,134,498
WK036393,2017,24395,12335,12055,13715,8310.0,1725.0,3685.0,8058,303
WK036394,2017,28495,14265,14225,15155,8380.0,2180.0,4600.0,7695,370
WK036395,2017,2985,1560,1420,1750,1010.0,395.0,350.0,1365,219
WK036396,2017,18300,8700,9595,9150,4475.0,1500.0,3175.0,7051,260
WK036397,2017,11470,5650,5815,5525,2415.0,1075.0,2040.0,6257,183
WK036398,2017,1525,730,790,640,170.0,195.0,280.0,870,175
WK036300,2016,4280,2340,1935,3070,2160.0,655.0,265.0,12255,35
WK036301,2016,3960,2150,1805,2900,2105.0,625.0,175.0,6935,57
WK036302,2016,6475,3415,3060,4200,2660.0,1030.0,520.0,14469,45
WK036303,2016,5440,2960,2480,3505,2260.0,785.0,470.0,10476,52
WK036304,2016,9605,4990,4615,6325,4105.0,1360.0,865.0,13390,72
WK036305,2016,9305,4705,4600,5680,3420.0,1240.0,1030.0,17007,55
WK036306,2016,19390,9795,9590,13025,8750.0,2525.0,1765.0,23232,83
WK036307,2016,7340,3775,3565,4720,3025.0,1075.0,630.0,13205,56
WK036308,2016,7930,4120,3810,5105,3460.0,1000.0,650.0,10216,78
WK036309,2016,12620,6330,6290,7560,4560.0,1485.0,1520.0,12788,99
WK036310,2016,195,135,60,145,120.0,10.0,20.0,10,1998
WK036311,2016,100,70,30,75,55.0,20.0,5.0,14,722
WK036312,2016,1025,530,495,665,425.0,155.0,90.0,3427,30
WK036313,2016,10880,5400,5475,6300,3650.0,1245.0,1415.0,7964,137
WK036314,2016,13180,6590,6590,8040,4890.0,1650.0,1510.0,27849,47
WK036315,2016,2490,1205,1285,1270,625.0,240.0,415.0,4793,52
WK036316,2016,8490,4185,4305,5135,3125.0,1140.0,875.0,23681,36
WK036317,2016,4680,2340,2340,2995,1885.0,650.0,470.0,21545,22
WK036318,2016,6345,3290,3050,4225,2825.0,800.0,605.0,25163,25
WK036319,2016,7070,3485,3580,4595,3065.0,815.0,720.0,28338,25
WK036320,2016,7500,3585,3915,4540,2755.0,965.0,830.0,22395,34
WK036321,2016,7785,3765,4015,4745,2845.0,1090.0,820.0,26126,30
WK036322,2016,1855,935,920,1035,615.0,210.0,220.0,8574,22
WK036323,2016,2255,1235,1015,1735,1430.0,165.0,150.0,1066,212
WK036324,2016,14850,7495,7355,9965,6660.0,2055.0,1260.0,23402,63
WK036325,2016,12400,5955,6445,7995,5150.0,1670.0,1180.0,24140,51
WK036326,2016,8275,3925,4350,4895,2865.0,940.0,1100.0,23451,35
WK036327,2016,5205,2625,2580,3175,1940.0,700.0,545.0,14089,37
WK036328,2016,10940,5485,5455,6525,3965.0,1305.0,1260.0,15149,72
WK036329,2016,9245,4575,4670,5360,3205.0,1055.0,1110.0,15577,59
WK036330,2016,9420,4625,4790,5185,2920.0,1005.0,1270.0,25514,37
WK036331,2016,12560,6315,6240,7030,3985.0,1510.0,1540.0,26806,47
WK036332,2016,10375,5265,5105,5350,2930.0,1015.0,1410.0,11048,94
WK036333,2016,18475,9310,9165,9090,3880.0,2280.0,2940.0,11966,154
WK036334,2016,1215,635,575,905,725.0,110.0,75.0,491,248
WK036335,2016,14425,7155,7265,5575,1730.0,990.0,2860.0,12871,112
WK036336,2016,510,300,210,265,125.0,115.0,35.0,427,120
WK036337,2016,19050,9480,9570,10575,5945.0,2210.0,2425.0,18647,102
WK036338,2016,5880,2860,3020,3390,1875.0,835.0,690.0,16225,36
WK036339,2016,9565,4630,4935,4765,2615.0,810.0,1350.0,13274,72
WK036340,2016,6835,3250,3585,4175,2495.0,935.0,750.0,24826,28
WK036341,2016,6915,3725,3190,4560,3105.0,745.0,720.0,23987,29
WK036342,2016,10460,5185,5275,6085,3505.0,1340.0,1255.0,26206,40
WK036343,2016,6930,3315,3615,4160,2360.0,1025.0,780.0,21761,32
WK036344,2016,11760,5420,6335,7175,4170.0,1675.0,1340.0,13855,85
WK036345,2016,3845,1815,2030,2485,1580.0,525.0,385.0,13270,29
WK036346,2016,5640,2815,2825,2740,1285.0,610.0,855.0,8838,64
WK036347,2016,12835,6195,6635,6945,3700.0,1650.0,1605.0,9771,131
WK036348,2016,11630,5445,6185,6825,3840.0,1490.0,1505.0,12153,96
WK036349,2016,8750,4145,4605,4240,1950.0,965.0,1330.0,9903,88
WK036350,2016,0,0,0,0,0.0,0.0,0.0,.,27
WK036351,2016,7000,3355,3645,2730,910.0,425.0,1405.0,10563,66
WK036352,2016,14745,6800,7940,8355,4630.0,1910.0,1825.0,14909,99
WK036353,2016,5355,2580,2770,3315,2000.0,710.0,615.0,20903,26
WK036354,2016,9125,4235,4885,5805,3615.0,1215.0,990.0,9455,97
WK036355,2016,10990,5450,5535,6515,3935.0,1335.0,1250.0,6947,158
WK036356,2016,15285,7250,8030,7970,4015.0,1725.0,2235.0,5421,282
WK036357,2016,3210,1505,1700,1965,1150.0,415.0,405.0,2952,109
WK036358,2016,3920,1945,1970,2975,2450.0,365.0,165.0,1377,285
WK036359,2016,1315,580,735,690,350.0,165.0,180.0,3446,38
WK036360,2016,9645,4765,4880,5020,2560.0,940.0,1525.0,8076,119
WK036361,2016,8230,4175,4055,4400,2365.0,835.0,1210.0,6954,118
WK036362,2016,3520,1640,1875,1870,870.0,460.0,550.0,8196,43
WK036363,2016,1860,890,970,925,380.0,250.0,305.0,11034,17
WK036364,2016,1685,830,855,655,170.0,190.0,305.0,4711,36
WK036365,2016,11165,5390,5770,5280,2260.0,1180.0,1845.0,7023,159
WK036366,2016,8755,4255,4500,3930,1450.0,930.0,1560.0,3481,252
WK036367,2016,3035,1465,1570,1315,380.0,405.0,545.0,2250,135
WK036368,2016,13300,6435,6860,5950,2530.0,1095.0,2330.0,9335,142
WK036369,2016,10945,5215,5725,5730,3085.0,1170.0,1485.0,7248,151
WK036370,2016,14175,6855,7320,6370,2765.0,1280.0,2335.0,8560,166
WK036371,2016,1690,905,785,1050,635.0,250.0,170.0,676,250
WK036372,2016,160,95,60,105,70.0,30.0,10.0,237,68
WK036373,2016,2210,1135,1070,915,260.0,305.0,360.0,89,2481
WK036374,2016,2450,1245,1205,920,230.0,230.0,470.0,3003,82
WK036375,2016,6240,3040,3200,3340,1765.0,695.0,890.0,24628,25
WK036376,2016,9445,4855,4590,4540,2265.0,760.0,1525.0,9810,96
WK036377,2016,17260,8760,8495,8460,4405.0,1445.0,2620.0,7679,225
WK036378,2016,15455,7795,7660,6610,2740.0,1300.0,2575.0,11706,132
WK036379,2016,2385,1170,1215,1030,325.0,305.0,410.0,1076,222
WK036380,2016,845,430,415,370,125.0,110.0,145.0,159,535
WK036381,2016,15910,7735,8170,8480,4550.0,1790.0,2150.0,10096,158
WK036382,2016,15855,7735,8120,7145,3170.0,1345.0,2635.0,15362,103
WK036383,2016,5880,2985,2890,2760,1390.0,520.0,860.0,9835,60
WK036384,2016,14480,7145,7335,5865,1825.0,1330.0,2715.0,9599,151
WK036385,2016,7980,4015,3965,3800,1735.0,810.0,1260.0,7192,111
WK036386,2016,12120,6020,6095,6125,3445.0,1090.0,1600.0,8334,145
WK036387,2016,7820,4115,3705,4230,2300.0,985.0,950.0,5535,141
WK036388,2016,13965,6860,7105,6150,2090.0,1625.0,2445.0,2992,467
WK036389,2016,9645,4685,4960,4800,2565.0,880.0,1365.0,7723,125
WK036390,2016,12690,5865,6825,7505,4365.0,1655.0,1490.0,4458,285
WK036391,2016,7650,3575,4075,4510,2725.0,1025.0,765.0,4993,153
WK036392,2016,430,235,190,295,275.0,20.0,10.0,87,498
WK036393,2016,23910,11985,11925,13200,7825.0,1640.0,3745.0,7898,303
WK036394,2016,27190,13570,13620,14310,7780.0,2095.0,4440.0,7343,370
WK036395,2016,3010,1550,1455,1760,1020.0,400.0,350.0,1376,219
WK036396,2016,18280,8655,9625,9070,4385.0,1510.0,3190.0,7043,260
WK036397,2016,11545,5675,5865,5515,2380.0,1095.0,2050.0,6297,183
WK036398,2016,1475,710,765,625,175.0,190.0,265.0,843,175
